City,State,POPULATION_2010,POPULATION_2011,POPULATION_2012,POPULATION_2013,POPULATION_2014,POPULATION_2015,POPULATION_2016,POPULATION_2017,POPULATION_2018,POPULATION_2019,Postal Code
Arlington,Texas,365892,370253,375629,378950,382721,388728,394384,397173,398123,398854,TX
Corpus Christi,Texas,305272,308103,312390,317043,320765,324672,325786,325568,326307,326586,TX
Plano,Texas,261234,267035,272329,274708,278226,283887,287269,287715,288747,287677,TX
Laredo,Texas,236807,241195,245728,249602,252734,255271,257862,259324,260856,262491,TX
Lubbock,Texas,231105,233928,236361,239708,244350,247950,251387,254432,256469,258862,TX
Garland,Texas,227345,230055,233698,234660,235590,237161,236310,238327,241709,239928,TX
Irving,Texas,216859,219859,225748,228943,232584,237201,239898,240608,241424,239798,TX
Frisco,Texas,118201,123515,128445,136794,144965,154390,164176,177730,188452,200490,TX
Amarillo,Texas,191249,193763,195404,196248,197200,197816,198694,199722,199183,199371,TX
McKinney,Texas,132934,137928,143510,149207,157143,163612,173577,182104,191748,199177,TX
Grand Prairie,Texas,175974,178903,182030,183891,185824,188411,192095,193973,193989,194543,TX
Brownsville,Texas,175362,178154,179652,180648,181656,181528,182311,182384,182333,182781,TX
Killeen,Texas,129024,130838,134240,136294,137589,140147,142854,145149,148683,151666,TX
Pasadena,Texas,149523,151156,152662,153532,154447,154530,154525,153858,152733,151227,TX
Midland,Texas,111276,113941,119794,124163,128352,133440,134935,136205,142173,146038,TX
McAllen,Texas,132093,134639,136277,137421,138719,139909,141888,142249,142530,143268,TX
Denton,Texas,117010,120101,123573,125030,128217,131154,134261,135629,138315,141541,TX
Mesquite,Texas,139963,141520,143365,143604,144508,144988,144681,144218,142520,140937,TX
Carrollton,Texas,119564,122527,125484,126545,128349,133060,133704,136054,137013,139248,TX
Waco,Texas,125377,126443,127494,129011,129860,131801,133421,136939,137886,139236,TX
Round Rock,Texas,100772,103864,106504,109547,112665,115981,120864,123684,128849,133372,TX
Abilene,Texas,117805,118762,119853,119797,120648,121707,121883,122186,122775,123420,TX
Odessa,Texas,99817,102009,105908,110158,114430,118421,117159,116418,120037,123334,TX
Pearland,Texas,94063,96271,99283,102832,106027,111267,115926,119312,121424,122460,TX
Richardson,Texas,99581,101660,103695,105166,109134,110883,113910,116237,119878,121323,TX
Sugar Land,Texas,108403,109854,111277,113490,116807,118405,118784,118967,118777,118488,TX
College Station,Texas,94666,95671,97761,100601,103469,108952,111068,114483,116035,117911,TX
Beaumont,Texas,117378,117908,117033,118068,117812,118603,118734,118953,117667,116825,TX
Lewisville,Texas,95930,97636,99703,101156,102963,103956,105030,106439,106938,109212,TX
League City,Texas,84096,86278,88242,90790,94121,97860,101669,104442,106005,107536,TX
Tyler,Texas,97140,98015,98941,99730,101557,102712,103904,104738,105668,106985,TX
Allen,Texas,84921,87680,89812,92173,94215,98344,99742,101214,103577,105623,TX
Wichita Falls,Texas,104790,103966,104628,104948,105208,103892,104075,104325,104356,104683,TX
Edinburg,Texas,82504,84796,86263,88355,90342,91780,92776,95427,98036,101170,TX
San Angelo,Texas,93626,94532,95841,97057,98567,99704,99790,99678,100009,101004,TX
Conroe,Texas,65731,67352,69662,70676,73779,76322,82068,84809,87578,91079,TX
New Braunfels,Texas,58059,59319,60885,63025,65902,70133,73351,78902,84495,90209,TX
Bryan,Texas,76517,77196,77832,78939,80667,82052,83171,84188,84817,86276,TX
Mission,Texas,78118,79728,80920,81486,82167,82823,83257,83576,83958,84331,TX
Longview,Texas,80565,81024,81190,81249,81253,81717,81378,80980,81191,81631,TX
Georgetown,Texas,48012,50310,52483,54831,58974,63533,67028,70640,74275,79604,TX
Cedar Park,Texas,55777,58840,61496,64800,67161,69556,72545,75559,76903,79462,TX
Flower Mound town,Texas,64864,65982,67764,68375,69525,70985,73533,76700,77562,79135,TX
Pharr,Texas,70778,72142,73327,74165,75348,76369,77363,78649,78925,79112,TX
Temple,Texas,66614,67124,68756,69544,70199,71786,73003,74377,76165,78439,TX
Baytown,Texas,71757,72500,73311,75334,75926,76286,76369,76693,76592,77192,TX
Missouri City,Texas,66905,67441,68107,69314,71076,73611,74359,74617,74834,75457,TX
Mansfield,Texas,57088,58331,59682,61228,62605,64705,66253,68841,70796,72419,TX
North Richland Hills,Texas,63479,64256,65254,67239,68424,69145,69973,70516,70686,70670,TX
Rowlett,Texas,56345,57011,57771,58090,58471,60355,62291,62992,66126,67339,TX
Victoria,Texas,62675,63113,64244,64964,65904,67154,67346,67019,66835,66916,TX
Pflugerville,Texas,48717,50273,51988,53813,54714,57241,59500,63260,64172,65380,TX
Harlingen,Texas,65102,65638,65786,65674,65510,65208,65229,65153,64996,65022,TX
San Marcos,Texas,45267,47687,50010,54403,58983,60446,61726,63526,63688,64776,TX
Leander,Texas,27709,29120,30636,32774,35280,39019,43788,49792,55924,62608,TX
Euless,Texas,51411,52052,52756,53140,53569,54163,54881,55252,57241,57197,TX
Grapevine,Texas,46610,47102,48427,50117,50772,51430,52055,53974,53809,55281,TX
