City,State,POPULATION_2010,POPULATION_2011,POPULATION_2012,POPULATION_2013,POPULATION_2014,POPULATION_2015,POPULATION_2016,POPULATION_2017,POPULATION_2018,POPULATION_2019
Visalia, California,124869,125649,126420,127309,128482,129369,130662,132388,133428,134605
Hampton, Virginia,137415,136628,137177,137332,137680,136264,135374,134725,134330,134510
Gainesville, Florida,124681,125671,125993,126340,127571,129356,131580,132041,133665,133997
Warren, Michigan,134081,134173,134590,135312,135666,135386,135245,135100,134376,133943
Coral Springs, Florida,122887,125141,126682,127788,128847,130160,131753,133542,133712,133759
Cedar Rapids, Iowa,126852,128231,128478,128826,129662,130832,131397,132564,133209,133562
Round Rock, Texas,100772,103864,106504,109547,112665,115981,120864,123684,128849,133372
Sterling Heights, Michigan,129709,130042,130672,131521,132136,132041,132522,132681,132725,132438
Kent, Washington,119067,122165,124739,126118,127727,129241,130508,131697,131734,132319
Columbia, South Carolina,130774,131302,131761,131527,131781,133616,134129,134005,132770,131674
Santa Clara, California,116761,117836,119337,120486,121967,126024,126429,126709,129085,130365
New Haven, Connecticut,129816,130845,131114,130906,130611,130383,130417,130653,129993,130250
Stamford, Connecticut,122781,123988,125046,126306,127951,128352,128974,129880,129806,129638
Concord, California,122505,123518,124678,125888,127128,128303,129036,129592,129743,129295
Elizabeth, New Jersey,125257,125792,126595,127278,127658,127661,127968,128175,128599,129216
Athens-Clarke County unified government (balance), Georgia,116102,116928,118584,119566,119059,122213,123523,125409,125857,126913
Thousand Oaks, California,126732,127325,127657,128224,128636,128632,128480,128229,127279,126813
Lafayette, Louisiana,121836,122674,123587,124873,126036,126922,127221,126526,126371,126185
Simi Valley, California,124463,125019,125274,125868,126239,126123,125958,126107,125438,125613
Topeka, Kansas,127914,128228,128095,127725,127489,127396,126948,126517,125778,125310
Norman, Oklahoma,111402,113882,115600,118695,118228,120239,121974,123390,123844,124880
Fargo, North Dakota,106025,108142,110881,113739,115715,118093,120149,122420,124091,124662
Wilmington, North Carolina,106754,108141,109658,111686,113320,115050,118770,120836,122616,123744
Abilene, Texas,117805,118762,119853,119797,120648,121707,121883,122186,122775,123420
Odessa, Texas,99817,102009,105908,110158,114430,118421,117159,116418,120037,123334
Columbia, Missouri,109429,111514,113553,115440,117028,118570,120248,121539,122533,123195
Pearland, Texas,94063,96271,99283,102832,106027,111267,115926,119312,121424,122460
Victorville, California,116278,117891,119831,120697,121087,121442,121725,121988,121952,122385
Hartford, Connecticut,125354,125434,125266,125128,124665,124311,123654,122888,122556,122105
Vallejo, California,116137,116709,117599,118550,119602,120477,120949,121546,121677,121692
Allentown, Pennsylvania,118113,118782,118878,118826,119167,120071,120420,121047,121537,121442
Berkeley, California,112889,113968,115309,116944,118697,120749,121547,122164,121663,121363
Richardson, Texas,99581,101660,103695,105166,109134,110883,113910,116237,119878,121323
Arvada, Colorado,106917,108084,110229,111872,113692,115406,117710,118950,120421,121272
Ann Arbor, Michigan,114173,115539,116079,116820,118716,119884,120919,121493,121429,119980
Rochester, Minnesota,107047,108097,108916,110427,111198,112160,114051,115586,117047,118935
Cambridge, Massachusetts,105008,105884,107886,112036,112993,113471,115685,116869,118151,118927
Sugar Land, Texas,108403,109854,111277,113490,116807,118405,118784,118967,118777,118488
Lansing, Michigan,114321,114559,114661,114734,115093,115324,116569,117730,117931,118210
Evansville, Indiana,120091,120216,120266,120295,120153,119487,119004,118331,118060,117979
College Station, Texas,94666,95671,97761,100601,103469,108952,111068,114483,116035,117911
Fairfield, California,105598,106245,107497,109137,110727,112365,114456,115817,116678,117133
Clearwater, Florida,109052,109204,109538,110279,111167,112939,114175,115482,116324,116946
Beaumont, Texas,117378,117908,117033,118068,117812,118603,118734,118953,117667,116825
Independence, Missouri,116891,116917,117318,117281,117505,117260,117268,117197,117017,116672
Provo, Utah,112923,115191,115559,116119,115378,114596,116627,117583,116630,116618
West Jordan, Utah,104023,106349,108086,109735,110416,111293,113325,113945,115610,116480
Murrieta, California,104229,105370,106509,107361,108037,109372,111492,112995,114715,116223
Palm Bay, Florida,104138,104131,104819,105329,106237,108160,110289,112217,113854,115552
El Monte, California,113677,114101,114843,115414,115627,115824,115550,115514,115308,115487
Carlsbad, California,105674,107460,108948,110665,111609,112662,113265,114477,115518,115382
North Charleston, South Carolina,97949,99898,101994,104050,106754,108597,109738,110820,113077,115382
Temecula, California,100703,102640,104295,106073,108671,111140,112402,113987,114614,114761
Clovis, California,96386,97557,98588,99631,101904,103828,106353,109316,111824,114584
Springfield, Illinois,117138,117786,117928,117633,117489,117221,116536,115771,114840,114230
Meridian, Idaho,77428,79723,82125,85086,89174,92144,96227,100539,106464,114161
Westminster, Colorado,106434,107739,109083,110422,111517,112420,112984,112961,113227,113166
Costa Mesa, California,110221,111151,111790,112244,112485,112808,112933,113665,113302,113003
High Point, North Carolina,104710,105823,106567,107573,108797,110232,111533,111746,112073,112791
Manchester, New Hampshire,109613,110281,110888,111008,111198,111275,111903,112235,112492,112673
Pueblo, Colorado,106755,107146,107476,107670,107823,108955,110118,111059,111725,112361
Lakeland, Florida,97640,98834,99000,100326,102034,103550,105837,107712,110421,112136
Pompano Beach, Florida,100063,101756,102888,104183,105500,106937,109358,110354,111636,112118
West Palm Beach, Florida,100813,101498,102526,103420,104314,106850,108740,110328,111058,111955
Antioch, California,103080,104193,105565,107351,109071,110308,111088,111494,111578,111502
Everett, Washington,103173,103445,104436,105048,106460,107077,108931,110169,111088,111475
Downey, California,111785,112215,112582,112858,113091,113260,112896,112426,111915,111126
Lowell, Massachusetts,106782,107774,108803,109757,110537,111142,111226,111738,111362,110997
Centennial, Colorado,100989,102508,104249,106634,107438,109120,109735,110388,110814,110937
Elgin, Illinois,108388,109225,109710,110149,111059,111992,112265,112103,111490,110849
Richmond, California,103631,104882,106023,107083,107921,109062,109663,109860,110189,110567
Peoria, Illinois,114980,115426,115798,116646,115955,115183,114227,112618,111449,110417
Broken Arrow, Oklahoma,99246,100199,102179,103603,104944,106842,107884,108395,109068,110198
Miami Gardens, Florida,107516,108859,110056,110842,110943,111561,111884,112220,111144,110001
Billings, Montana,104509,105458,106765,108561,108434,109599,109620,109797,109444,109577
Jurupa Valley, California,95590,97195,98350,99469,100080,101460,103240,105760,108314,109527
Sandy Springs, Georgia,94275,96677,98882,99377,101371,104789,105578,106634,108846,109452
Gresham, Oregon,106008,107720,108779,109221,110029,110378,111762,111243,109808,109381
Lewisville, Texas,95930,97636,99703,101156,102963,103956,105030,106439,106938,109212
Hillsboro, Oregon,92559,94274,96343,98160,99827,102550,105374,107433,108201,109128
San Buenaventura (Ventura), California,107435,108306,109002,109339,109535,109668,109893,110093,110731,109106
